run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011524_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011554_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011652_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,36,82,"[""mk2a"", ""mend2b"", ""mexo3""]","[""mend2b"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend2b,mexo3
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011711_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,36,82,"[""mk2a"", ""mend2b"", ""mexo3""]","[""mend2b"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend2b,mexo3
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011757_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,36,82,"[""mk2b"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011809_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,36,82,"[""mk2b"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011851_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,36,82,"[""mk2b"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011903_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,36,82,"[""mk2b"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011943_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,28,90,"[""mk3"", ""mend1"", ""mexo2b""]","[""mend1"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend1,mexo2b
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_011959_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,28,90,"[""mk3"", ""mend1"", ""mexo2b""]","[""mend1"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend1,mexo2b
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012037_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012051_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012129_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,28,90,"[""mk3"", ""mend2b"", ""mexo1""]","[""mend2b"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2b,mexo1
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012142_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,28,90,"[""mk3"", ""mend2b"", ""mexo1""]","[""mend2b"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2b,mexo1
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012224_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_sanity_fast_rerun_20260307/train_runs/20260307_012237_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo3
